"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","199","Успешное удаление Юзера","","2026-09-16","passed","2026-09-16","","qa.demo.test.ReqresInAPITest","qa.demo.test.ReqresInAPITest","testSuccessUserDeleted"
"","3100","Успешное заполнение формы студента","","2026-09-16","passed","2026-09-16","","qa.demo.test.PracticFormWebStepsTest","qa.demo.test.PracticFormWebStepsTest","testPracticFormWebSteps"
"","3485","Ошибка 404 на изменение данных Юзера","","2026-09-16","passed","2026-09-16","","qa.demo.test.ReqresInAPITest","qa.demo.test.ReqresInAPITest","testFailUserUpdateeNotFound"
"","3193","Успешное заполнение формы студента","","2026-09-16","passed","2026-09-16","","qa.demo.test.PracticFormTest","qa.demo.test.PracticFormTest","testStudentRegistrationFormSuccessfulSubmission"
"","397","Успешное создание Юзера","","2026-09-16","passed","2026-09-16","","qa.demo.test.ReqresInAPITest","qa.demo.test.ReqresInAPITest","testSuccessUserCreationPojo"
"","334","Успешное изменение данных Юзера","","2026-09-16","failed","2026-09-16","","qa.demo.test.ReqresInAPITest","qa.demo.test.ReqresInAPITest","testSuccessUserUpdateLombok"
"","5174","Успешное заполнение формы студента","","2026-09-16","passed","2026-09-16","","qa.demo.test.PracticFormLambdaTest","qa.demo.test.PracticFormLambdaTest","successfulFillingFormStudentTest"
"","453","Успешное получение Юзера","","2026-09-16","failed","2026-09-16","","qa.demo.test.ReqresInAPITest","qa.demo.test.ReqresInAPITest","testSuccessGetUser"
"","1149","Проверка списка кол-ва записе в data равно per_page","","2026-09-16","passed","2026-09-16","","qa.demo.test.ReqresInAPITest","qa.demo.test.ReqresInAPITest","testDataSizeEquelsPerPageValue"
