"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","189","Успешное изменение данных Юзера","","2026-09-16","passed","2026-09-16","","qa.demo.test.ReqresInAPITest","qa.demo.test.ReqresInAPITest","testSuccessUserUpdateLombok"
"","163","Успешное удаление Юзера","","2026-09-16","passed","2026-09-16","","qa.demo.test.ReqresInAPITest","qa.demo.test.ReqresInAPITest","testSuccessUserDeleted"
"","2496","Успешное заполнение формы студента","","2026-09-16","passed","2026-09-16","","qa.demo.test.PracticFormWebStepsTest","qa.demo.test.PracticFormWebStepsTest","testPracticFormWebSteps"
"","361","Успешное получение Юзера","","2026-09-16","passed","2026-09-16","","qa.demo.test.ReqresInAPITest","qa.demo.test.ReqresInAPITest","testSuccessGetUser"
"","5779","Успешное заполнение формы студента","","2026-09-16","passed","2026-09-16","","qa.demo.test.PracticFormLambdaTest","qa.demo.test.PracticFormLambdaTest","successfulFillingFormStudentTest"
"","2481","Успешное заполнение формы студента","","2026-09-16","passed","2026-09-16","","qa.demo.test.PracticFormTest","qa.demo.test.PracticFormTest","testStudentRegistrationFormSuccessfulSubmission"
"","251","Успешное создание Юзера","","2026-09-16","passed","2026-09-16","","qa.demo.test.ReqresInAPITest","qa.demo.test.ReqresInAPITest","testSuccessUserCreationPojo"
"","3156","Ошибка 404 на изменение данных Юзера","","2026-09-16","passed","2026-09-16","","qa.demo.test.ReqresInAPITest","qa.demo.test.ReqresInAPITest","testFailUserUpdateeNotFound"
"","977","Проверка списка кол-ва записе в data равно per_page","","2026-09-16","passed","2026-09-16","","qa.demo.test.ReqresInAPITest","qa.demo.test.ReqresInAPITest","testDataSizeEquelsPerPageValue"
